Compound_CID,SMILES,Carcinogenicity
11,C(CCl)Cl,Group 2B: Possibly carcinogenic to humans
13,C1=CC(=C(C=C1Cl)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,No indication of carcinogenicity to humans (not listed by IARC).
33,C(C=O)Cl,No indication of carcinogenicity to humans (not listed by IARC).
34,C(CCl)O,Not Available
43,C(CC(=O)O)C(C(=O)O)O,"Not listed by IARC. Has been implicated in oncogenesis (A15091, A15090, A15088)."
47,CCC(C)C(=O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
49,CC(C)C(=O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
70,CC(C)CC(=O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
71,C(CC(=O)C(=O)O)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
119,C(CC(=O)O)CN,No indication of carcinogenicity to humans (not listed by IARC).
137,C(CC(=O)O)C(=O)CN,No indication of carcinogenicity to humans (not listed by IARC).
144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
174,C(CO)O,No indication of carcinogenicity to humans (not listed by IARC).
176,CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
177,CC=O,Group 2B: Possibly carcinogenic to humans
178,CC(=O)N,Group 2B: Possibly carcinogenic to humans
180,CC(=O)C,No indication of carcinogenicity (not listed by IARC). (L135)
190,C1=NC2=NC=NC(=C2N1)N,No indication of carcinogenicity to humans (not listed by IARC).
204,C1(C(=O)NC(=O)N1)NC(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
205,CC(C(C(=O)O)N)O,No indication of carcinogenicity to humans (not listed by IARC).
222,N,No indication of carcinogenicity to humans (not listed by IARC).
227,C1=CC=C(C(=C1)C(=O)O)N,Group 3: Not classifiable as to its carcinogenicity to humans
239,C(CN)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
240,C1=CC=C(C=C1)C=O,Not Available
241,C1=CC=CC=C1,Group 1: Carcinogenic to humans
242,C1=CC=C(C=C1)C(=O)[O-],No indication of carcinogenicity to humans (not listed by IARC).
243,C1=CC=C(C=C1)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
244,C1=CC=C(C=C1)CO,Not Available
259,[Br-],No indication of carcinogenicity (not listed by IARC). (L135)
260,Br,No indication of carcinogenicity to humans (not listed by IARC).
264,CCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
277,C(=O)(N)O,No indication of carcinogenicity to humans (not listed by IARC).
280,C(=O)=O,No indication of carcinogenicity (not listed by IARC). (L135)
281,[C-]#[O+],No indication of carcinogenicity to humans (not listed by IARC).
288,C[N+](C)(C)CC(CC(=O)[O-])O,No indication of carcinogenicity to humans (not listed by IARC).
289,C1=CC=C(C(=C1)O)O,Group 2B: Possibly carcinogenic to humans
297,C,No indication of carcinogenicity to humans (not listed by IARC).
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,Group 2B: Possibly carcinogenic to humans
300,C(C(=O)O)Cl,Not Available
307,C1=CC=C(C=C1)C=CC=O,No indication of carcinogenicity to humans (not listed by IARC).
312,[Cl-],No indication of carcinogenicity (not listed by IARC). (L135)
313,Cl,Group 3: Not classifiable as to its carcinogenicity to humans
321,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,No indication of carcinogenicity to humans (not listed by IARC).
323,C1=CC=C2C(=C1)C=CC(=O)O2,Group 3: Not classifiable as to its carcinogenicity to humans
335,CC1=CC=CC=C1O,No indication of carcinogenicity to humans (not listed by IARC).
338,C1=CC=C(C(=C1)C(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
342,CC1=CC(=CC=C1)O,No indication of carcinogenicity to humans (not listed by IARC).
356,CCCCCCCC,No indication of carcinogenicity to humans (not listed by IARC).
379,CCCCCCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
398,CC(C)[N+](=O)[O-],Group 2B: Possibly carcinogenic to humans
402,S,No indication of carcinogenicity to humans (not listed by IARC).
403,C1=CC(=CC=C1N)O,Not listed by IARC.
444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,No indication of carcinogenicity to humans (not listed by IARC).
453,C(C(C(C(C(CO)O)O)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
460,COC1=CC=CC=C1O,No indication of carcinogenicity to humans (not listed by IARC).
464,C1=CC=C(C=C1)C(=O)NCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
469,C(CC(C(=O)O)N)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
487,CC(C(=O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
501,CN(C)C(=NCCCC(C(=O)O)N)N,No indication of carcinogenicity to humans (not listed by IARC).
533,[SeH2],"3, not classifiable as to its carcinogenicity to humans. (L135)"
558,C(CC(=O)C(=O)O)CN=C(N)N,No indication of carcinogenicity to humans (not listed by IARC).
586,CN(CC(=O)O)C(=N)N,No indication of carcinogenicity to humans (not listed by IARC).
604,C(C(C(C(C(C(=O)O)O)O)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
612,CC(C(=O)O)O,Not listed by IARC.
650,CC(=O)C(=O)C,No indication of carcinogenicity (not listed by IARC). (L135)
654,CCOP(=O)(O)OCC,No indication of carcinogenicity to humans (not listed by IARC).
655,CCOP(=S)(O)OCC,No indication of carcinogenicity to humans (not listed by IARC).
660,C1CC(=O)OC2=CC=CC=C21,Not Available
674,CNC,No indication of carcinogenicity to humans (not listed by IARC).
679,CS(=O)C,No indication of carcinogenicity to humans (not listed by IARC).
681,C1=CC(=C(C=C1CCN)O)O,No indication of carcinogenicity to humans (not listed by IARC).
682,C1=CC(=O)C(=O)C=C1CC(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
700,C(CO)N,No indication of carcinogenicity to humans (not listed by IARC).
702,CCO,Group 1: Carcinogenic to humans
712,C=O,Group 1: Carcinogenic to humans
713,C(=O)N,Not Available
723,C(=CC(=O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Group 2B: Possibly carcinogenic to humans
743,C(CC(=O)O)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
750,C(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
751,C(C(C=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
752,C(C(C(=O)O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
753,C(C(CO)O)O,No indication of carcinogenicity to humans (not listed by IARC).
757,C(C(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
763,C(C(=O)O)N=C(N)N,No indication of carcinogenicity to humans (not listed by IARC).
768,C#N,No indication of carcinogenicity to humans (not listed by IARC).
778,C(CS)C(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
780,C1=CC(=C(C=C1O)CC(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
781,C(#N)S,No indication of carcinogenicity to humans (not listed by IARC).
784,OO,Group 3: Not classifiable as to its carcinogenicity to humans
785,C1=CC(=CC=C1O)O,Group 3: Not classifiable as to its carcinogenicity to humans
791,CCC(C)C(C(=O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
801,C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-],No indication of carcinogenicity to humans (not listed by IARC).
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
807,II,No indication of carcinogenicity to humans (not listed by IARC).
813,[K+],No indication of carcinogenicity to humans (not listed by IARC).
825,C1C(CNC1C(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
828,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
833,C(CC(C(=O)O)N)CNC(=O)N,No indication of carcinogenicity to humans (not listed by IARC).
836,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,No indication of carcinogenicity to humans (not listed by IARC).
864,C1CSSC1CCCCC(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
875,C(C(C(=O)O)O)(C(=O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
