image_id,engine,cer,wer,time
001,paddleocr,0.0000,0.0000,0.8104
001,doctr,0.0426,0.8000,1.1092
001,tesseract,0.8298,2.0000,0.1384
002,paddleocr,0.0047,0.0263,6.1887
002,doctr,0.0213,0.2632,2.0887
002,tesseract,0.0521,0.1579,1.1788
003,paddleocr,0.5113,0.7647,1.3812
003,doctr,0.2331,0.7647,0.9909
003,tesseract,0.4511,0.6471,0.2704
004,paddleocr,0.2214,0.2358,14.5810
004,doctr,0.0597,0.0943,3.9249
004,tesseract,0.1421,0.2925,2.0927
005,paddleocr,0.7328,0.9655,3.2782
005,doctr,0.5763,0.8966,1.7578
005,tesseract,0.9198,1.0000,0.1661
006,paddleocr,0.0370,0.0606,6.1304
006,doctr,0.0074,0.0606,1.5429
006,tesseract,0.0111,0.0606,0.9779
007,paddleocr,0.3412,0.5000,2.6347
007,doctr,0.0118,0.1250,0.8300
007,tesseract,0.1059,0.6250,0.5109
008,paddleocr,0.0348,0.2857,1.6431
008,doctr,0.3391,0.7857,1.0490
008,tesseract,0.8261,2.0714,0.2740
009,paddleocr,1.0000,1.0000,0.3434
009,doctr,0.0000,0.0000,0.6697
009,tesseract,0.1875,0.7500,0.1512
010,paddleocr,0.0606,0.3333,0.8580
010,doctr,0.0000,0.0000,0.7117
010,tesseract,0.0000,0.0000,0.1810
011,paddleocr,0.0101,0.0556,4.5604
011,doctr,0.0101,0.1111,1.2590
011,tesseract,0.0606,0.3889,0.6716
012,paddleocr,0.0217,0.2500,3.2452
012,doctr,0.1304,0.5000,0.7817
012,tesseract,0.1522,1.0000,0.5466
013,paddleocr,0.3288,0.4138,6.5455
013,doctr,0.0712,0.4483,1.3991
013,tesseract,0.2271,0.7241,0.9999
014,paddleocr,0.0191,0.1667,3.9156
014,doctr,0.0000,0.0000,1.0685
014,tesseract,0.2229,0.3333,0.4233
015,paddleocr,0.0303,0.2727,2.5355
015,doctr,0.0202,0.1818,0.8948
015,tesseract,0.0707,0.4545,0.3537
016,paddleocr,0.1812,0.4795,11.0643
016,doctr,0.0507,0.3288,2.5853
016,tesseract,0.8029,0.9041,0.7029
017,paddleocr,0.1732,0.3478,5.5619
017,doctr,0.0447,0.4348,1.2818
017,tesseract,0.0335,0.2174,0.8236
018,paddleocr,0.0961,0.1026,9.3144
018,doctr,0.0120,0.0769,1.6690
018,tesseract,0.0090,0.0513,1.3797
019,paddleocr,0.1458,0.2609,4.6819
019,doctr,0.1691,0.9565,1.4838
019,tesseract,0.5160,0.8696,1.5601
020,paddleocr,0.2083,0.3333,2.3881
020,doctr,0.0000,0.0000,0.8262
020,tesseract,1.0000,1.0000,0.1603
021,paddleocr,0.0450,0.0588,10.7469
021,doctr,0.0071,0.0588,2.0325
021,tesseract,0.0782,0.3333,1.8319
022,paddleocr,0.2155,0.3636,5.3927
022,doctr,0.0055,0.0909,1.1654
022,tesseract,0.0166,0.1818,1.0953
