image_id,engine,cer,wer,time
001,paddleocr,0.3044,0.3636,4.2066
001,doctr,0.0074,0.0519,2.7843
001,tesseract,0.0517,0.1558,0.5735
002,paddleocr,0.0000,0.0000,1.3911
002,doctr,0.1007,0.6667,1.0556
002,tesseract,0.9640,1.0000,0.1093
003,paddleocr,0.0370,0.1111,0.8716
003,doctr,0.2099,0.3333,1.0687
003,tesseract,0.1358,0.4444,0.2730
004,paddleocr,0.2769,0.5152,1.1255
004,doctr,0.1498,0.8485,1.3185
004,tesseract,0.1303,0.7273,0.1556
005,paddleocr,0.4344,0.5192,3.6067
005,doctr,0.0082,0.0577,2.1423
005,tesseract,0.0219,0.1154,0.3839
006,paddleocr,0.6715,0.7500,1.1847
006,doctr,0.5537,0.8594,2.6088
006,tesseract,0.7562,0.9688,0.2907
007,paddleocr,0.0399,0.2571,0.7807
007,doctr,0.2029,0.4571,1.5644
007,tesseract,0.3152,0.6571,0.4839
008,paddleocr,0.2217,0.3559,0.8877
008,doctr,0.2281,0.5085,2.2782
008,tesseract,0.4414,0.6949,0.4711
009,paddleocr,0.0191,0.1364,0.6089
009,doctr,0.0127,0.0909,1.2225
009,tesseract,0.6943,0.9545,0.1189
010,paddleocr,0.4091,0.5000,0.6152
010,doctr,0.0455,0.2500,1.5936
010,tesseract,0.4968,0.7000,0.3050
011,paddleocr,0.0134,0.1667,0.6318
011,doctr,0.0312,0.2667,1.3073
011,tesseract,0.0134,0.1667,0.1733
012,paddleocr,0.0398,0.1333,1.1105
012,doctr,0.0916,0.4333,1.5579
012,tesseract,0.6135,0.8000,0.1658
013,paddleocr,0.0139,0.1000,0.4090
013,doctr,0.0000,0.0000,1.2265
013,tesseract,0.5556,0.4500,0.3005
014,paddleocr,0.0606,0.4000,0.4852
014,doctr,0.0909,0.6000,0.8094
014,tesseract,0.1212,0.6000,0.1191
015,paddleocr,0.0000,0.0000,0.5263
015,doctr,0.0000,0.0000,0.9700
015,tesseract,0.2687,0.8000,0.1154
016,paddleocr,0.0116,0.0833,0.1824
016,doctr,0.0698,0.5000,1.0627
016,tesseract,0.1279,0.5000,0.1391
017,paddleocr,0.5980,0.7963,1.3031
017,doctr,0.1436,0.7130,3.2094
017,tesseract,0.3633,0.7778,0.6318
018,paddleocr,0.0033,0.0244,0.7993
018,doctr,0.0066,0.0488,1.7055
018,tesseract,0.0066,0.0488,0.1727
019,paddleocr,0.0084,0.0588,0.5735
019,doctr,0.0753,0.6176,1.2804
019,tesseract,0.3347,0.9412,0.1745
020,paddleocr,0.0090,0.0645,0.6431
020,doctr,0.0452,0.4194,1.3845
020,tesseract,0.2489,0.6129,0.1842
